codigo_orden,nombre_orden,prioridad,fecha_creacion,requerido_por,fecha_aprobacion,equipo,codigo_equipo,tipo_mantenimiento,descripcion,fecha_inicio,fecha_finalizacion,cuadrilla,personal_asignado,supervisor,insumo,codigo_insumo,epp,ast,responsable,autorizacion,comentarios
OM-001,Sis. de Refrig.,Media,2026-05-29,Sosa,2026-05-29,Sistema de Refrigeracion(A1;1),1,Preventivo,"Comprobación de estanqueidad de gas y limpieza del evaporador
",2026-05-29,2026-05-29,1,1,Sosa,lentes y guantes ,0002 0003,,SI,Sosa,Sosa,
OM-002,Sis. de Refrig.,Media,2026-05-29,Sosa,2026-05-30,Sistema de Refrigeracion(A1;1),1,Preventivo,Limpieza de serpentines del condensador y revisión de presiones de alta/baja,2026-05-29,2026-05-29,1,Sosa,Sosa,"compresor, medidor de presion",0001 0002,guantes y lentes,SI,Sosa,Sosa,
OM-003,Sis. de Refrig.,Media,2026-05-29,Sosa,2026-05-29,Sistema de Refrigeracion(A1;1),1,Preventivo,"Limpieza profunda de y revisión del estado del aceite del compresor
",2026-05-29,2026-05-29,1,Sosa,Sosa,Aceite ,0003,guantes,SI,Sosa,Sosa,
OM-004,Sis. de Refig.,Alta,2026-05-29,Sosa,2026-05-30,Sistema de Refrigeracion(A1;1),1,Preventivo,Limpieza profunda de y revisión del estado del aceite del compresor,2026-05-31,2026-05-31,1,Sosa,Sosa,Aceite ,0004,guantes ,SI,Sosa,Sosa,
OM-005,Sis. de Refrig.,Alta,2026-05-29,Sosa,2026-06-03,Sistema de Refrigeracion(A1;1),1,Preventivo,"Vacío del sistema, limpieza química profunda de intercambiadores y recarga de gas refrigerante si se detectó pérdida",2026-06-06,2026-06-07,1,Sosa,Sosa,Gas refrigerante,0068,"guantes, lentes, mascara ",SI,Sosa,Sosa,
OM-006,Sistema de Refrigeracion,Media,2026-05-29,Bremermann,2027-03-16,Sistema de Refrigeracion(A1;1),1,Preventivo,Comprobación de estanqueidad de gas y limpieza del evaporador,2027-03-16,2027-03-17,2,Bremermann,Sosa,"Gas refrigerante, aceite",0068 0004,botas de seguridad y guantes,SI,Bremermann,Bremermann,Tarea trimestral programada según plan anual.
OM-007,PC,Media,2026-05-29,Silva,2026-06-04,PC(A1;2),2,Preventivo,Soplado de componentes y comprobación de temperaturas,2026-06-04,2026-06-07,2,Silva,Sosa,"Aire comprimido, pasta térmica",0101 0102,"guantes, lentes y casco",SI,Silva,Sosa,Tarea trimestral programada según plan anual.
OM-008,PC,Alta,2026-05-29,Pereira,2027-03-22,PC(A1;2),2,Preventivo,"Intervención física total: Cambio de pasta térmica y pads térmicos, limpieza de polvo con compresor, revisión de capacitores y estado de vida útil de discos duros",2027-03-22,2027-03-26,3,Pereira,Bremermann,"Aire comprimido, pasta térmica",0101 0102,guantes dieléctricos y lentes,SI,Pereira,Bremermann,Tarea anual programada según plan anual.
OM-009,Iluminacion,Media,2026-05-29,Bremermann,2026-12-28,Iluminacion(A1;3),3,Correctivo Prog.,Sustitución de luminarias fundidas o con pérdida de intensidad,2026-12-28,2026-12-29,1,Bremermann,Bremermann,"Luminarias LED, cableado",0110 0111,guantes y lentes,SI,Bremermann,Bremermann,Tarea mensual programada según plan anual.
OM-010,Iluminacion,Media,2026-05-29,Sosa,2026-12-13,Iluminacion(A1;3),3,Preventivo,Limpieza de pantallas reflectantes para optimizar el flujo lumínico y revisión de balastos/drivers,2026-12-13,2026-12-16,1,Sosa,Sosa,"Luminarias LED, cableado",0110 0111,"mascara, guantes y lentes",SI,Sosa,Sosa,Tarea trimestral programada según plan anual.
OM-011,Iluminacion,Alta,2026-05-29,Pereira,2027-02-04,Iluminacion(A1;3),3,Preventivo,Revisión de toda la red de cableado aéreo y limpieza de estructuras de soporte para evitar corrosión,2027-02-04,2027-02-06,1,Pereira,Bremermann,"Luminarias LED, cableado",0110 0111,"guantes, lentes y casco",SI,Pereira,Sosa,Tarea anual programada según plan anual.
OM-012,Heladera,Media,2026-05-29,Gomez,2026-11-03,Heladera(A1;4),4,Preventivo,"Verificación del termostato, limpieza de drenajes y revisión del estado de los sellos de goma",2026-11-03,2026-11-05,3,Gomez,Sosa,Herramientas generales,0001,guantes y lentes,SI,Gomez,Sosa,Tarea trimestral programada según plan anual.
OM-013,Heladera,Alta,2026-05-29,Gomez,2026-12-26,Heladera(A1;4),4,Preventivo,Limpieza del condensador y verificación del ciclo de desescarche,2026-12-26,2026-12-29,2,Gomez,Bremermann,Herramientas generales,0001,"mascara, guantes y lentes",SI,Gomez,Bremermann,Tarea semestral programada según plan anual.
OM-014,Heladera,Alta,2026-05-29,Rodriguez,2027-01-08,Heladera(A1;4),4,Preventivo,"Desinfección total, comprobación de la presión del compresor y estado de los componentes electrónicos de control",2027-01-08,2027-01-12,2,Rodriguez,Bremermann,Herramientas generales,0001,"mascara, guantes y lentes",SI,Rodriguez,Sosa,Tarea anual programada según plan anual.
OM-015,Variador de Frecuencia,Media,2026-05-29,Bremermann,2027-01-23,Variador de Frecuencia(A2;1),5,Preventivo,Limpieza de filtros de aire y revisión de registros de fallos en el historial,2027-01-23,2027-01-25,3,Bremermann,Sosa,Herramientas generales,0001,botas de seguridad y guantes,SI,Bremermann,Sosa,Tarea mensual programada según plan anual.
OM-016,Variador de Frecuencia,Media,2026-05-29,Pereira,2026-09-04,Variador de Frecuencia(A2;1),5,Preventivo,Reapriete de bornes: Comprobar conexiones de potencia para evitar puntos calientes por vibración,2026-09-04,2026-09-07,2,Pereira,Bremermann,Herramientas generales,0001,"mascara, guantes y lentes",SI,Pereira,Bremermann,Tarea trimestral programada según plan anual.
OM-017,Variador de Frecuencia,Alta,2026-05-29,Gomez,2027-03-12,Variador de Frecuencia(A2;1),5,Preventivo,Comprobación del estado de los condensadores (hinchazón) y actualización de firmware si es necesario,2027-03-12,2027-03-15,3,Gomez,Sosa,Herramientas generales,0001,"mascara, guantes y lentes",SI,Gomez,Bremermann,Tarea semestral programada según plan anual.
OM-018,Variador de Frecuencia,Alta,2026-05-29,Sosa,2026-10-24,Variador de Frecuencia(A2;1),5,Preventivo,Desmontaje y limpieza interna de polvillo fino con limpiador de contactos dieléctrico y aire seco,2026-10-24,2026-10-28,1,Sosa,Sosa,Herramientas generales,0001,guantes dieléctricos y lentes,SI,Sosa,Bremermann,Tarea anual programada según plan anual.
OM-019,Motor Trifasico,Media,2026-05-29,Rodriguez,2026-11-27,Motor Trifasico(A2;2),6,Predictivo,Medición de temperatura en rodamientos y carcasa con pirómetro láser,2026-11-27,2026-11-28,1,Rodriguez,Sosa,Grasa industrial,0301,"guantes, lentes y casco",SI,Rodriguez,Bremermann,Tarea mensual programada según plan anual.
OM-020,Motor Trifasico,Media,2026-05-29,Silva,2027-02-24,Motor Trifasico(A2;2),6,Predictivo,Prueba de aislamiento (Megado): Medir la resistencia del bobinado para predecir fallos a tierra,2027-02-24,2027-02-28,2,Silva,Bremermann,Grasa industrial,0301,botas de seguridad y guantes,SI,Silva,Bremermann,Tarea trimestral programada según plan anual.
OM-021,Motor Trifasico,Alta,2026-05-29,Bremermann,2026-09-26,Motor Trifasico(A2;2),6,Predictivo,Alineación Láser: Verificar que el eje del motor y la carga estén perfectamente alineados,2026-09-26,2026-09-30,2,Bremermann,Sosa,Grasa industrial,0301,"mascara, guantes y lentes",SI,Bremermann,Sosa,Tarea semestral programada según plan anual.
OM-022,Motor Trifasico,Alta,2026-05-29,Gomez,2026-08-02,Motor Trifasico(A2;2),6,Correctivo Prog.,Mantenimiento Mayor: Sustitución preventiva de rodamientos y barnizado de bobinados si se detectó baja resistencia en el megado trimestral,2026-08-02,2026-08-05,2,Gomez,Sosa,Grasa industrial,0301,botas de seguridad y guantes,SI,Gomez,Bremermann,Tarea anual programada según plan anual.
